# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['4d', '9s']","['7d', '4s']","['6d', '2h']",,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['4d', '9s']","['7d', '4s']","['6d', '2h']",,,2,2
0,Flop,0,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s']",,,100,100
0,Flop,1,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s']",,,100,100
0,Turn,0,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s', '8d']",,,100,100
0,Turn,1,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s', '8d']",,,100,100
0,River,0,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s', '8d', '6h']",,,100,100
0,River,1,0,0,CHECK,0,"['4d', '9s']","['7d', '4s']","['6d', '2h', '8s', '8d', '6h']",,,100,100
1,Pre-Flop,1,100,-100,RAISE,2,"['5s', '9d']","['6h', '6s']","['2s', 'As']",,,1,1
1,Pre-Flop,0,100,-100,RAISE,96,"['5s', '9d']","['6h', '6s']","['2s', 'As']",,,2,2
1,Pre-Flop,1,100,-100,CALL,0,"['5s', '9d']","['6h', '6s']","['2s', 'As']",,,4,4
1,Flop,1,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h']",,,100,100
1,Flop,0,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h']",,,100,100
1,Turn,1,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h', '5d']",,,100,100
1,Turn,0,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h', '5d']",,,100,100
1,River,1,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h', '5d', 'Ad']",,,100,100
1,River,0,100,-100,CHECK,0,"['5s', '9d']","['6h', '6s']","['2s', 'As', '8h', '5d', 'Ad']",,,100,100
2,Pre-Flop,0,0,0,RAISE,98,"['8d', '7d']","['7s', '8h']","['9d', '6d']",,,1,1
2,Pre-Flop,1,0,0,CALL,0,"['8d', '7d']","['7s', '8h']","['9d', '6d']",,,2,2
2,Flop,0,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h']",,,100,100
2,Flop,1,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h']",,,100,100
2,Turn,0,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h', '3s']",,,100,100
2,Turn,1,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h', '3s']",,,100,100
2,River,0,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h', '3s', '5s']",,,100,100
2,River,1,0,0,CHECK,0,"['8d', '7d']","['7s', '8h']","['9d', '6d', '5h', '3s', '5s']",,,100,100
3,Pre-Flop,1,0,0,RAISE,3,"['7s', '3s']","['5d', '5h']","['8d', '4s']",,,1,1
3,Pre-Flop,0,0,0,RAISE,95,"['7s', '3s']","['5d', '5h']","['8d', '4s']",,,2,2
3,Pre-Flop,1,0,0,CALL,0,"['7s', '3s']","['5d', '5h']","['8d', '4s']",,,5,5
3,Flop,1,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad']",,,100,100
3,Flop,0,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad']",,,100,100
3,Turn,1,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad', '7h']",,,100,100
3,Turn,0,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad', '7h']",,,100,100
3,River,1,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad', '7h', '6h']",,,100,100
3,River,0,0,0,CHECK,0,"['7s', '3s']","['5d', '5h']","['8d', '4s', 'Ad', '7h', '6h']",,,100,100
4,Pre-Flop,0,-100,100,RAISE,98,"['4h', '7s']","['7d', '5h']","['2h', '3d']",,,1,1
4,Pre-Flop,1,-100,100,CALL,0,"['4h', '7s']","['7d', '5h']","['2h', '3d']",,,2,2
4,Flop,0,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d']",,,100,100
4,Flop,1,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d']",,,100,100
4,Turn,0,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d', '5d']",,,100,100
4,Turn,1,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d', '5d']",,,100,100
4,River,0,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d', '5d', '2s']",,,100,100
4,River,1,-100,100,CHECK,0,"['4h', '7s']","['7d', '5h']","['2h', '3d', '4d', '5d', '2s']",,,100,100
5,Pre-Flop,1,-200,200,CALL,0,"['9h', '8s']","['5s', '3h']","['5h', '8d']",,,1,1
5,Pre-Flop,0,-200,200,RAISE,98,"['9h', '8s']","['5s', '3h']","['5h', '8d']",,,2,2
5,Pre-Flop,1,-200,200,DISCARD,0,"['9h', '8s']","['5s', '3h']","['5h', '8d']",,,2,2
5,Pre-Flop,1,-200,200,CALL,0,"['9h', '8s']","['5s', '6d']","['5h', '8d']",,3h,2,2
5,Flop,1,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d']",,3h,100,100
5,Flop,0,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d']",,3h,100,100
5,Turn,1,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d', '6h']",,3h,100,100
5,Turn,0,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d', '6h']",,3h,100,100
5,River,1,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d', '6h', '2h']",,3h,100,100
5,River,0,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d', '6h', '2h']",,3h,100,100
6,Pre-Flop,0,-300,300,RAISE,98,"['5s', 'As']","['9d', '2h']","['9h', '2s']",,,1,1
6,Pre-Flop,1,-300,300,DISCARD,0,"['5s', 'As']","['9d', '2h']","['9h', '2s']",,,2,2
6,Pre-Flop,1,-300,300,FOLD,0,"['5s', 'As']","['7s', '2h']","['9h', '2s']",,9d,2,2
7,Pre-Flop,1,-298,298,CALL,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,1,1
7,Pre-Flop,0,-298,298,RAISE,98,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,2,2
7,Pre-Flop,1,-298,298,CALL,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,2,2
